STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_FIN16,Percent of firms identifying access to finance as a major or very severe constraint,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_T,Total,_T,Total,_T,Total,2008,36.62239075,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_FIN16,Percent of firms identifying access to finance as a major or very severe constraint,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_T,Total,_T,Total,WB_ES_OTHER_1,Additional Breakdowns : Exporter Type - Direct exports are 10% or more of sales,2008,66.66666412,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_FIN16,Percent of firms identifying access to finance as a major or very severe constraint,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_T,Total,_T,Total,WB_ES_OTHER_2,Additional Breakdowns : Exporter Type - Non-exporter,2008,35.616436,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_FIN16,Percent of firms identifying access to finance as a major or very severe constraint,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_T,Total,_T,Total,WB_ES_OTHER_3,Additional Breakdowns : Gender of Top Manager - Top manager is female,2008,33.33333206,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_FIN16,Percent of firms identifying access to finance as a major or very severe constraint,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_T,Total,_T,Total,WB_ES_OTHER_4,Additional Breakdowns : Gender of Top Manager - Top manager is male,2008,36.64122391,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_FIN16,Percent of firms identifying access to finance as a major or very severe constraint,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_T,Total,_T,Total,WB_ES_OTHER_5,Additional Breakdowns : Ownership Type - 10% or more foreign ownership,2008,34.78260803,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_FIN16,Percent of firms identifying access to finance as a major or very severe constraint,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_T,Total,_T,Total,WB_ES_OTHER_6,Additional Breakdowns : Ownership Type - Domestic,2008,36.47294617,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_FIN16,Percent of firms identifying access to finance as a major or very severe constraint,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_MAJOR_SECTOR_1,Major Sector: Manufacturing,_T,Total,_T,Total,2008,47.93388367,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_FIN16,Percent of firms identifying access to finance as a major or very severe constraint,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,WB_ES_MAJOR_SECTOR_2,Major Sector: Services,_T,Total,_T,Total,2008,33.25123215,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_FIN16,Percent of firms identifying access to finance as a major or very severe constraint,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_T,Total,WB_ES_SIZE_1,Size: Large (100+),_T,Total,2008,47.61904907,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
